ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,ValidPix_Before,ValidPix_After,FAPAR_Before,FAPAR_After,FAPAR_Loss,FAPAR_Loss_Pct,Status,QA_Flag
Rajshahi,Pabna,Faridpur,BD507633,652,652,0.2495,0.01,0.2395,95.99,Loss,OK
Dhaka,Gopalganj,Kotali Para,BD303551,1564,1613,0.248,0.0098,0.2382,96.05,Loss,OK
Dhaka,Faridpur,Saltha,BD302990,850,854,0.2477,0.01,0.2377,95.96,Loss,OK
Khulna,Khulna,Phultala,BD404769,220,252,0.2471,0.0094,0.2377,96.2,Loss,OK
Chittagong,Chittagong,Chandgaon,BD201519,33,88,0.2442,0.0069,0.2373,97.17,Loss,OK
Rajshahi,Rajshahi,Durgapur,BD508131,815,861,0.2468,0.0097,0.2371,96.07,Loss,OK
Dhaka,Faridpur,Nagarkanda,BD302962,887,887,0.2469,0.01,0.2369,95.95,Loss,OK
Mymensingh,Netrakona,Mohanganj,BD457263,806,1076,0.2456,0.0087,0.2369,96.46,Loss,OK
Dhaka,Dhaka,Uttar Khan,BD302696,78,91,0.2456,0.0093,0.2363,96.21,Loss,OK
Sylhet,Sunamganj,Sunamganj Sadar,BD609089,963,1252,0.245,0.0089,0.2361,96.37,Loss,OK
Chittagong,Comilla,Daudkandi,BD201936,914,954,0.2457,0.0098,0.2359,96.01,Loss,OK
Dhaka,Madaripur,Shib Char,BD305487,1035,1474,0.2444,0.0085,0.2359,96.52,Loss,OK
Dhaka,Gopalganj,Tungi Para,BD303591,543,563,0.2454,0.0098,0.2356,96.01,Loss,OK
Sylhet,Habiganj,Baniachong,BD603611,1532,2218,0.2435,0.0085,0.235,96.51,Loss,OK
Rajshahi,Rajshahi,Matihar,BD508140,38,39,0.2442,0.0099,0.2343,95.95,Loss,OK
Dhaka,Munshiganj,Lohajang,BD305944,373,619,0.2421,0.0081,0.234,96.65,Loss,OK
Sylhet,Sunamganj,Jagannathpur,BD609047,1403,1663,0.2427,0.0092,0.2335,96.21,Loss,OK
Rajshahi,Pabna,Bera,BD507616,807,1150,0.2413,0.0086,0.2327,96.44,Loss,OK
Chittagong,Comilla,Meghna,BD201975,366,466,0.2413,0.0089,0.2324,96.31,Loss,OK
Dhaka,Munshiganj,Gazaria,BD305924,447,639,0.2409,0.0085,0.2324,96.47,Loss,OK
Dhaka,Manikganj,Harirampur,BD305628,499,1079,0.2395,0.0073,0.2322,96.95,Loss,OK
Khulna,Khulna,Daulatpur,BD404721,37,64,0.2401,0.0079,0.2322,96.71,Loss,OK
Khulna,Narail,Kalia,BD406528,1309,1379,0.242,0.0098,0.2322,95.95,Loss,OK
Dhaka,Munshiganj,Tongibari,BD305994,462,537,0.2412,0.0093,0.2319,96.14,Loss,OK
Rajshahi,Pabna,Sujanagar,BD507683,1306,1464,0.2413,0.0096,0.2317,96.02,Loss,OK
Dhaka,Manikganj,Daulatpur,BD305610,744,964,0.24,0.0092,0.2308,96.17,Loss,OK
Dhaka,Kishoreganj,Tarail,BD304892,631,638,0.2404,0.0099,0.2305,95.88,Loss,OK
Dhaka,Tangail,Basail,BD309309,739,739,0.2402,0.01,0.2302,95.84,Loss,OK
Khulna,Jessore,Abhaynagar,BD404104,1017,1091,0.2397,0.0097,0.23,95.95,Loss,OK
Khulna,Satkhira,Tala,BD408790,1295,1475,0.2392,0.0094,0.2298,96.07,Loss,OK
Rangpur,Nilphamari,Dimla,BD557312,1433,1501,0.2378,0.0098,0.228,95.88,Loss,OK
Dhaka,Munshiganj,Serajdikhan,BD305974,764,770,0.2373,0.01,0.2273,95.79,Loss,OK
Khulna,Khulna,Rupsa,BD404775,402,523,0.2348,0.0088,0.226,96.25,Loss,OK
Khulna,Khulna,Khan Jahan Ali,BD404748,105,112,0.2355,0.0097,0.2258,95.88,Loss,OK
Rajshahi,Rajshahi,Rajpara,BD508185,14,53,0.2318,0.0063,0.2255,97.28,Loss,OK
Dhaka,Tangail,Bhuapur,BD309319,682,1036,0.2331,0.0083,0.2248,96.44,Loss,OK
Rajshahi,Rajshahi,Mohanpur,BD508153,675,710,0.2344,0.0098,0.2246,95.82,Loss,OK
Dhaka,Narayanganj,Rupganj,BD306768,751,808,0.2339,0.0096,0.2243,95.9,Loss,OK
Rajshahi,Pabna,Bhangura,BD507619,567,567,0.2342,0.01,0.2242,95.73,Loss,OK
Rangpur,Lalmonirhat,Patgram,BD555270,1221,1236,0.2317,0.0099,0.2218,95.73,Loss,OK
Mymensingh,Netrakona,Madan,BD457256,757,1028,0.2302,0.0087,0.2215,96.22,Loss,OK
Rangpur,Gaibandha,Fulchhari,BD553221,746,1412,0.2295,0.0081,0.2214,96.47,Loss,OK
